Numbers,annotation
11,r
12,l
13,r
14,r
15,l
31,r
32,l
33,l
34,r
35,r
51,r
52,l
53,l
54,r
55,l
71,r
72,r
73,l
74,r
75,l
91,l
92,l
93,l
94,l
95,l
111,l
112,l
113,l
114,l
115,l
131,l
132,l
133,r
134,r
135,r
151,r
152,l
153,r
154,l
155,r
171,r
172,l
173,r
174,l
175,l
191,r
192,l
193,r
194,l
195,r
211,l
212,l
213,r
214,l
215,l
231,l
232,l
233,r
234,r
235,r
251,r
252,r
253,l
254,l
255,r
271,l
272,l
273,l
274,r
275,l
291,l
292,l
293,r
294,l
295,r
311,l
312,l
313,r
314,l
315,r
331,l
332,l
333,l
334,r
335,r
351,r
352,r
353,l
354,r
355,r
371,l
372,l
373,r
374,l
375,l
391,r
392,l
393,l
394,l
395,r
411,l
412,l
413,l
414,l
415,r
431,r
432,l
433,l
434,r
435,l
451,l
452,l
453,l
454,l
455,l
